iter	Passed	Remaining
0	3	3759
1	8	4001
2	11	3863
3	14	3722
4	18	3620
5	21	3535
6	24	3506
7	28	3509
8	31	3416
9	33	3352
10	36	3262
11	38	3154
12	40	3056
13	42	2974
14	44	2907
15	46	2839
16	48	2778
17	50	2729
18	52	2686
19	54	2662
20	56	2630
21	58	2580
22	59	2546
23	62	2528
24	64	2498
25	65	2469
26	67	2439
27	69	2416
28	71	2392
29	73	2372
30	75	2354
31	77	2341
32	79	2324
33	81	2309
34	83	2301
35	85	2284
36	87	2274
37	89	2267
38	91	2265
39	94	2256
40	96	2246
41	97	2234
42	99	2222
43	101	2201
44	103	2192
45	105	2189
46	107	2183
47	109	2179
48	112	2173
49	114	2171
50	116	2162
51	118	2154
52	120	2157
53	122	2149
54	124	2142
55	126	2135
56	128	2130
57	130	2124
58	132	2115
59	134	2110
60	136	2105
61	138	2097
62	140	2091
63	142	2085
64	144	2082
65	146	2078
66	148	2070
67	150	2066
68	152	2063
69	154	2058
70	156	2053
71	158	2048
72	161	2045
73	162	2039
74	164	2034
75	167	2032
76	169	2029
77	171	2026
78	173	2024
79	175	2020
80	177	2016
81	179	2013
82	182	2013
83	184	2010
84	186	2007
85	188	2004
86	190	2000
87	192	1997
88	195	1996
89	197	2001
90	200	2001
91	202	1999
92	204	1996
93	206	1991
94	208	1987
95	210	1982
96	212	1979
97	214	1977
98	217	1975
99	218	1970
100	221	1967
101	222	1958
102	224	1956
103	226	1953
104	228	1950
105	231	1949
106	233	1945
107	235	1941
108	237	1939
109	239	1935
110	241	1933
111	243	1929
112	245	1926
113	247	1921
114	249	1919
115	251	1918
116	254	1916
117	256	1914
118	258	1910
119	260	1907
120	262	1905
121	264	1901
122	266	1897
123	268	1896
124	270	1893
125	272	1890
126	274	1888
127	276	1885
128	278	1881
129	280	1875
130	282	1874
131	284	1871
132	286	1867
133	288	1864
134	290	1862
135	292	1858
136	294	1857
137	296	1853
138	298	1849
139	300	1846
140	302	1843
141	304	1840
142	306	1837
143	308	1833
144	310	1832
145	313	1831
146	315	1828
147	317	1825
148	319	1823
149	321	1821
150	323	1818
151	325	1816
152	327	1813
153	329	1809
154	331	1806
155	333	1804
156	335	1802
157	337	1800
158	340	1800
159	342	1799
160	345	1797
161	347	1796
162	349	1794
163	351	1791
164	353	1788
165	355	1785
166	357	1783
167	359	1780
168	361	1777
169	363	1774
170	365	1772
171	367	1769
172	369	1767
173	371	1765
174	373	1762
175	375	1760
176	378	1759
177	380	1757
178	382	1754
179	384	1751
180	386	1749
181	388	1745
182	390	1743
183	392	1740
184	394	1737
185	396	1734
186	398	1731
187	400	1729
188	402	1727
189	404	1726
190	406	1723
191	408	1720
192	410	1717
193	412	1715
194	414	1712
195	416	1709
196	418	1707
197	421	1705
198	423	1703
199	425	1700
200	427	1697
201	429	1694
202	430	1692
203	433	1689
204	435	1687
205	437	1684
206	438	1681
207	441	1679
208	442	1676
209	444	1672
210	446	1670
211	448	1667
212	450	1665
213	452	1662
214	454	1660
215	456	1658
216	458	1655
217	460	1652
218	462	1650
219	464	1647
220	466	1645
221	468	1642
222	470	1640
223	472	1637
224	474	1635
225	476	1632
226	478	1630
227	480	1627
228	482	1625
229	484	1622
230	486	1620
231	488	1618
232	490	1616
233	493	1614
234	495	1613
235	497	1610
236	499	1609
237	501	1607
238	504	1604
239	506	1603
240	508	1600
241	510	1598
242	512	1596
243	514	1593
244	515	1590
245	517	1587
246	520	1585
247	522	1583
248	523	1579
249	525	1576
250	527	1574
251	529	1571
252	531	1569
253	533	1567
254	535	1565
255	537	1563
256	539	1561
257	541	1558
258	543	1556
259	545	1553
260	547	1551
261	549	1549
262	552	1547
263	554	1544
264	556	1542
265	558	1540
266	560	1537
267	562	1535
268	564	1533
269	566	1531
270	568	1528
271	570	1526
272	572	1524
273	574	1522
274	576	1520
275	579	1519
276	581	1517
277	583	1516
278	586	1515
279	588	1514
280	590	1512
281	593	1510
282	595	1508
283	597	1506
284	599	1504
285	601	1502
286	604	1500
287	606	1499
288	608	1497
289	611	1496
290	613	1494
291	615	1492
292	617	1490
293	619	1488
294	622	1487
295	624	1485
296	626	1483
297	629	1482
298	631	1480
299	633	1478
300	635	1476
301	637	1474
302	640	1472
303	642	1470
304	644	1468
305	646	1466
306	648	1464
307	651	1463
308	653	1461
309	655	1459
310	658	1457
311	660	1455
312	662	1453
313	664	1451
314	666	1449
315	668	1447
316	671	1445
317	673	1443
318	675	1441
319	677	1439
320	679	1437
321	681	1434
322	683	1432
323	685	1430
324	687	1428
325	690	1427
326	692	1424
327	694	1422
328	696	1420
329	698	1419
330	701	1417
331	703	1415
332	705	1413
333	707	1411
334	709	1409
335	712	1407
336	714	1405
337	716	1403
338	718	1400
339	720	1398
340	722	1395
341	724	1393
342	726	1391
343	728	1389
344	730	1387
345	732	1385
346	735	1383
347	737	1381
348	739	1380
349	741	1377
350	743	1375
351	746	1373
352	748	1371
353	750	1370
354	753	1368
355	755	1366
356	757	1364
357	759	1362
358	761	1360
359	764	1358
360	766	1356
361	768	1354
362	770	1352
363	772	1350
364	775	1348
365	777	1347
366	779	1345
367	781	1342
368	784	1340
369	786	1338
370	788	1336
371	790	1334
372	792	1332
373	795	1330
374	797	1328
375	799	1326
376	801	1324
377	803	1322
378	805	1320
379	808	1318
380	810	1316
381	812	1314
382	814	1312
383	817	1310
384	819	1308
385	821	1306
386	823	1304
387	826	1302
388	828	1300
389	830	1298
390	832	1296
391	834	1294
392	836	1292
393	838	1290
394	840	1287
395	843	1285
396	845	1284
397	847	1282
398	849	1279
399	851	1277
400	853	1274
401	855	1272
402	857	1270
403	859	1268
404	862	1266
405	864	1264
406	866	1262
407	868	1260
408	870	1258
409	872	1255
410	874	1253
411	877	1251
412	879	1249
413	881	1247
414	883	1245
415	885	1243
416	887	1241
417	890	1239
418	892	1237
419	894	1235
420	896	1232
421	898	1230
422	900	1228
423	902	1225
424	904	1223
425	906	1221
426	908	1219
427	910	1217
428	912	1215
429	914	1212
430	916	1210
431	918	1208
432	920	1205
433	922	1203
434	924	1201
435	926	1198
436	928	1196
437	930	1194
438	932	1192
439	934	1189
440	936	1187
441	938	1184
442	940	1182
443	942	1180
444	944	1178
445	946	1175
446	948	1173
447	950	1171
448	952	1168
449	954	1166
450	956	1164
451	958	1161
452	960	1159
453	962	1157
454	964	1155
455	966	1153
456	968	1150
457	970	1148
458	972	1146
459	974	1143
460	976	1141
461	978	1139
462	980	1137
463	982	1134
464	984	1132
465	986	1130
466	988	1128
467	990	1126
468	992	1124
469	994	1121
470	996	1119
471	998	1117
472	1000	1115
473	1002	1113
474	1005	1111
475	1007	1108
476	1009	1106
477	1011	1104
478	1013	1102
479	1015	1099
480	1017	1097
481	1019	1095
482	1021	1093
483	1023	1090
484	1025	1088
485	1027	1086
486	1029	1084
487	1031	1081
488	1033	1079
489	1035	1077
490	1037	1075
491	1039	1073
492	1041	1070
493	1043	1068
494	1045	1066
495	1047	1064
496	1049	1062
497	1051	1060
498	1053	1057
499	1055	1055
500	1058	1053
501	1060	1051
502	1062	1050
503	1064	1048
504	1066	1045
505	1068	1043
506	1070	1041
507	1072	1039
508	1075	1037
509	1077	1034
510	1079	1032
511	1081	1030
512	1083	1028
513	1085	1026
514	1087	1024
515	1090	1022
516	1092	1020
517	1094	1018
518	1096	1016
519	1098	1013
520	1100	1011
521	1102	1009
522	1104	1007
523	1106	1005
524	1108	1002
525	1110	1000
526	1112	998
527	1114	996
528	1116	994
529	1119	992
530	1121	990
531	1123	988
532	1125	985
533	1127	983
534	1129	981
535	1131	979
536	1133	977
537	1135	975
538	1137	972
539	1139	970
540	1141	968
541	1143	966
542	1146	964
543	1147	962
544	1149	960
545	1152	958
546	1154	955
547	1156	953
548	1158	951
549	1160	949
550	1161	946
551	1163	944
552	1165	942
553	1167	940
554	1170	938
555	1172	936
556	1174	934
557	1176	931
558	1178	929
559	1180	927
560	1182	925
561	1184	923
562	1186	921
563	1188	918
564	1190	916
565	1192	914
566	1194	912
567	1197	910
568	1198	908
569	1201	906
570	1203	904
571	1205	901
572	1207	899
573	1209	897
574	1211	895
575	1213	892
576	1215	890
577	1217	888
578	1219	886
579	1221	884
580	1223	882
581	1225	880
582	1228	878
583	1230	876
584	1232	874
585	1234	872
586	1236	869
587	1237	867
588	1239	865
589	1241	862
590	1243	860
591	1245	858
592	1247	856
593	1249	854
594	1251	852
595	1253	849
596	1255	847
597	1257	845
598	1259	843
599	1261	841
600	1264	839
601	1265	836
602	1268	834
603	1270	832
604	1272	830
605	1274	828
606	1276	826
607	1278	824
608	1280	822
609	1282	819
610	1284	817
611	1286	815
612	1288	813
613	1290	811
614	1293	809
615	1295	807
616	1297	805
617	1299	803
618	1301	800
619	1303	798
620	1305	796
621	1307	794
622	1309	792
623	1310	789
624	1313	787
625	1315	785
626	1317	783
627	1319	781
628	1321	779
629	1323	777
630	1325	774
631	1327	772
632	1329	770
633	1330	768
634	1332	766
635	1334	764
636	1336	761
637	1338	759
638	1340	757
639	1342	755
640	1344	753
641	1347	751
642	1349	749
643	1351	746
644	1353	744
645	1355	742
646	1356	740
647	1359	738
648	1360	736
649	1362	733
650	1364	731
651	1366	729
652	1368	727
653	1370	724
654	1372	722
